library,category,study_area,file_type,size_bytes,status,relative_path
english,根目录,vocabulary,epub,19385758,active,100个句子记完7000个雅思单词 (俞敏洪) (Z-Library).epub
english,Chapter 11 综合测试音频,listening,mp3,78586819,active,Chapter 11 综合测试音频/第十一章Section1.mp3
english,Chapter 11 综合测试音频,listening,mp3,85301333,active,Chapter 11 综合测试音频/第十一章Section2.mp3
english,Chapter 11 综合测试音频,listening,mp3,74578591,active,Chapter 11 综合测试音频/第十一章Section3.mp3
english,Chapter 11 综合测试音频,listening,mp3,102057317,active,Chapter 11 综合测试音频/第十一章Section4.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,14341686,active,Chapter 3 雅思听力特别名词语料库/01 预测试/预测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,4693725,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/01 Test 1-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,5838724,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/02 Test 2-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,4610133,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/03 Test 3-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,4492478,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/04 Test 4-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,5892223,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/05 Test 5-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,4619328,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/06 Test 6-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,4263227,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/07 Test 7-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,6167031,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/08 Test 8-横向测试.mp3
english,Chapter 3 雅思听力特别名词语料库,listening,mp3,5703515,active,Chapter 3 雅思听力特别名词语料库/02 横向测试/09 Test 9-横向测试.mp3
