library,category,study_area,file_type,size_bytes,status,relative_path
math,latex笔记的备份,math,zip,2654,active,latex笔记的备份/基础语法.zip
math,《可视化复分析》分章节,math,pdf,1047072,active,《可视化复分析》分章节/00_Front_Matter.pdf
math,《可视化复分析》分章节,math,pdf,2074971,active,《可视化复分析》分章节/13_Bibliography_and_Index.pdf
math,《可视化复分析》分章节,math,pdf,1061363,active,《可视化复分析》分章节/Ch01_Geometry_and_Complex_Arithmetic.pdf
math,《可视化复分析》分章节,math,pdf,1579106,active,《可视化复分析》分章节/Ch02_Complex_Functions_as_Transformations.pdf
math,《可视化复分析》分章节,math,pdf,1650904,active,《可视化复分析》分章节/Ch03_Mobius_Transformations_and_Inversion.pdf
math,《可视化复分析》分章节,math,pdf,559816,active,《可视化复分析》分章节/Ch04_Differentiation_The_Amplitwist_Concept.pdf
math,《可视化复分析》分章节,math,pdf,1044449,active,《可视化复分析》分章节/Ch05_Further_Geometry_of_Differentiation.pdf
math,《可视化复分析》分章节,math,pdf,1936751,active,《可视化复分析》分章节/Ch06_Non-Euclidean_Geometry.pdf
math,《可视化复分析》分章节,math,pdf,729014,active,《可视化复分析》分章节/Ch07_Winding_Numbers_and_Topology.pdf
math,《可视化复分析》分章节,math,pdf,1110253,active,《可视化复分析》分章节/Ch08_Complex_Integration_Cauchys_Theorem.pdf
math,《可视化复分析》分章节,math,pdf,409038,active,《可视化复分析》分章节/Ch09_Cauchys_Formula_and_Its_Applications.pdf
math,《可视化复分析》分章节,math,pdf,778630,active,《可视化复分析》分章节/Ch10_Vector_Fields_Physics_and_Topology.pdf
math,《可视化复分析》分章节,math,pdf,836233,active,《可视化复分析》分章节/Ch11_Vector_Fields_and_Complex_Integration.pdf
math,《可视化复分析》分章节,math,pdf,2246379,active,《可视化复分析》分章节/Ch12_Flows_and_Harmonic_Functions.pdf
math,优化,math,pdf,4782041,active,优化/Numerical Optimization (Jorge Nocedal  Stephen J. Wright).pdf
math,信息论,math,pdf,10581588,active,信息论/Elements of Information Theory (Wiley Series in Telecommunications and Signal Processing) (Hardcover) .pdf
math,信息论,math,pdf,16436611,active,信息论/Information Theory A Tutorial Introduction (2nd Edition) (James V Stone).pdf
math,信息论,math,pdf,15611005,variant-review,信息论/同书异版/Information Theory A Tutorial Introduction (2nd Edition) (James V Stone).pdf
math,变分与数学物理,math,pdf,32897,active,变分与数学物理/symmetry_physics_notes.pdf
math,变分与数学物理,math,pdf,14771918,active,变分与数学物理/变分学讲义 (张恭庆)(OCR).pdf
math,微分几何与黎曼几何,math,pdf,10299841,active,微分几何与黎曼几何/Differential Geometry of Curves and Surfaces (Manfredo P. do Carmo) .pdf
math,微分几何与黎曼几何,math,pdf,21155177,active,微分几何与黎曼几何/GTM简短全面介绍微分几何Metric Structures in Differential Geometry (Gerard Walschap).pdf
math,微分几何与黎曼几何,math,pdf,6503051,active,"微分几何与黎曼几何/Introduction to Smooth Manifolds (2012, Springer).pdf"
math,微分几何与黎曼几何,math,pdf,21161331,active,微分几何与黎曼几何/Metric Structures in Differential Geometry (Gerard Walschap) .pdf
math,微分几何与黎曼几何,math,pdf,10289488,active,微分几何与黎曼几何/R^3中的微分几何Differential Geometry of Curves and Surfaces (Manfredo P. do Carmo).pdf
math,微分几何与黎曼几何,math,pdf,8281497,active,微分几何与黎曼几何/Riemannian Geometry (Manfredo P. do Carmo) (OCR).pdf
math,微分几何与黎曼几何,math,pdf,26135611,active,微分几何与黎曼几何/Visual Differential Geometry and Forms.pdf
math,微分几何与黎曼几何,math,pdf,8279197,variant-review,微分几何与黎曼几何/同书异版/Riemannian Geometry (Manfredo P. do Carmo) (OCR).pdf
math,微分几何与黎曼几何,math,pdf,26133541,variant-review,微分几何与黎曼几何/同书异版/Visual Differential Geometry and Forms.pdf
math,微分几何与黎曼几何,math,pdf,13461127,variant-review,微分几何与黎曼几何/同书异版/梅加强 - 流形与几何初步(OCR).pdf
math,微分几何与黎曼几何,math,pdf,18641366,variant-review,微分几何与黎曼几何/同书异版/黎曼几何初步 (伍鸿熙 沈纯理 虞言林) (Z-Library).pdf
math,微分几何与黎曼几何,math,pdf,13450608,active,微分几何与黎曼几何/梅加强 - 流形与几何初步(OCR).pdf
